Date,Open,High,Low,Close,Adj Close,Volume
4/10/2024,3956.399902,3990.199951,3918,3984.649902,3955.897705,2101965
4/12/2024,3971,4013.350098,3945.5,4001.399902,3972.526855,4354821
4/15/2024,4001.399902,4064.199951,3919.050049,3941.199951,3912.76123,4200329
4/16/2024,3902,3928.699951,3862.850098,3872.800049,3844.85498,3051420
4/18/2024,3876.800049,3936,3850,3862,3834.132813,3476284
4/19/2024,3838,3852.550049,3800.899902,3826.199951,3798.591064,2957749
4/22/2024,3837,3878,3812,3864.600098,3836.714111,1728883
4/23/2024,3877.050049,3895,3860.600098,3874.699951,3846.741211,1807586
4/24/2024,3890,3898,3824.449951,3831.050049,3803.40625,1317312
4/25/2024,3811.199951,3873.649902,3811,3852.199951,3824.403564,2856271
4/26/2024,3855.149902,3876.800049,3802.550049,3821.350098,3793.776123,2039178
4/29/2024,3838,3877.800049,3819.199951,3870.199951,3842.273682,1110693
4/30/2024,3872,3881.75,3810,3820.649902,3793.081055,2203078
5/2/2024,3778.050049,3871.100098,3778.050049,3863.300049,3835.423584,2491044
5/3/2024,3890.149902,3893.600098,3797.600098,3843.399902,3815.666992,2962234
5/6/2024,3853,3939.949951,3853,3921.050049,3892.756836,2053831
5/7/2024,3930.800049,3988,3913.5,3978.949951,3950.23877,2062112
5/8/2024,3961,3984.300049,3938.600098,3976.949951,3948.253418,1247685
5/9/2024,3962,3971,3910.050049,3960.199951,3931.624268,1726486
5/10/2024,3962.600098,3973.600098,3885.050049,3893.899902,3865.80249,1672489
5/13/2024,3884.5,3955,3870,3947.800049,3919.313721,931326
5/14/2024,3936,3945.800049,3892.899902,3901.199951,3873.049805,1058317
5/15/2024,3904.5,3926.949951,3875.5,3880.399902,3852.399902,1115021
5/16/2024,3891.100098,3909.5,3843.5,3900.949951,3900.949951,2599399
5/17/2024,3919,3920,3830,3834.100098,3834.100098,2765804
5/21/2024,3830.600098,3844.75,3810.050049,3820.199951,3820.199951,1908117
5/22/2024,3835,3841.25,3817.550049,3832,3832,1311168
5/23/2024,3840.949951,3905,3825.5,3893.449951,3893.449951,2095742
5/24/2024,3878.25,3883.800049,3844.300049,3849.5,3849.5,1309452
5/27/2024,3855,3908.350098,3841.350098,3847.050049,3847.050049,1841538
5/28/2024,3858,3870,3830,3839.899902,3839.899902,1801993
5/29/2024,3848.899902,3848.899902,3800,3803.649902,3803.649902,1568095
5/30/2024,3777,3794.399902,3715.449951,3736.100098,3736.100098,2919230
5/31/2024,3740,3749.800049,3653.75,3670.949951,3670.949951,10956800
6/3/2024,3732.800049,3751.550049,3696,3702.850098,3702.850098,2156773
6/4/2024,3700,3745,3591.5,3715,3715,3395997
6/5/2024,3716,3783.800049,3700,3746.449951,3746.449951,2799670
6/6/2024,3781,3839.899902,3741.5,3830.399902,3830.399902,4328036
6/7/2024,3837.300049,3915,3837.300049,3893.949951,3893.949951,4552445
6/10/2024,3895,3905.899902,3841.899902,3858.699951,3858.699951,1733941
